PSTART 13-05-2021 14:18:44 97 PSTOP;42
PSTART 13-05-2021 14:18:44 98 PSTOP;34
PSTART 13-05-2021 14:18:44 99 PSTOP;40
PSTART 13-05-2021 14:18:44 00 PSTOP;43
PSTART 13-05-2021 14:18:44 01 PSTOP;38
PSTART 13-05-2021 14:18:44 02 PSTOP;43
PSTART 13-05-2021 14:18:44 03 PSTOP;43
PSTART 13-05-2021 14:18:44 04 PSTOP;42
PSTART 13-05-2021 14:18:44 05 PSTOP;36
PSTART 13-05-2021 14:18:45 06 PSTOP;43
PSTART 13-05-2021 14:18:45 07 PSTOP;44
PSTART 13-05-2021 14:18:45 08 PSTOP;34
PSTART 13-05-2021 14:18:45 09 PSTOP;41
PSTART 13-05-2021 14:18:45 10 PSTOP;43
PSTART 13-05-2021 14:18:45 11 PSTOP;33
PSTART 13-05-2021 14:18:45 12 PSTOP;43
PSTART 13-05-2021 14:18:45 13 PSTOP;44
PSTART 13-05-2021 14:18:45 14 PSTOP;37
PSTART 13-05-2021 14:18:45 15 PSTOP;42
PSTART 13-05-2021 14:18:45 16 PSTOP;40
PSTART 13-05-2021 14:18:45 17 PSTOP;34
PSTART 13-05-2021 14:18:45 18 PSTOP;44
PSTART 13-05-2021 14:18:45 19 PSTOP;44
PSTART 13-05-2021 14:18:45 20 PSTOP;44
PSTART 13-05-2021 14:18:45 21 PSTOP;37
PSTART 13-05-2021 14:18:45 22 PSTOP;41
PSTART 13-05-2021 14:18:45 23 PSTOP;46
PSTART 13-05-2021 14:18:45 24 PSTOP;36
PSTART 13-05-2021 14:18:45 25 PSTOP;42
PSTART 13-05-2021 14:18:45 26 PSTOP;44
PSTART 13-05-2021 14:18:45 27 PSTOP;33
PSTART 13-05-2021 14:18:45 28 PSTOP;44
PSTART 13-05-2021 14:18:45 29 PSTOP;42
PSTART 13-05-2021 14:18:45 30 PSTOP;35
PSTART 13-05-2021 14:18:46 31 PSTOP;42
PSTART 13-05-2021 14:18:46 32 PSTOP;41
PSTART 13-05-2021 14:18:46 33 PSTOP;34
PSTART 13-05-2021 14:18:46 34 PSTOP;45
PSTART 13-05-2021 14:18:46 35 PSTOP;40
PSTART 13-05-2021 14:18:46 36 PSTOP;37
PSTART 13-05-2021 14:18:46 37 PSTOP;36
PSTART 13-05-2021 14:18:46 38 PSTOP;43
PSTART 13-05-2021 14:18:46 39 PSTOP;41
PSTART 13-05-2021 14:18:46 40 PSTOP;35
PSTART 13-05-2021 14:18:46 41 PSTOP;42
PSTART 13-05-2021 14:18:46 42 PSTOP;41
PSTART 13-05-2021 14:18:46 43 PSTOP;36
PSTART 13-05-2021 14:18:46 44 PSTOP;42
PSTART 13-05-2021 14:18:46 45 PSTOP;44
PSTART 13-05-2021 14:18:46 46 PSTOP;33
PSTART 13-05-2021 14:18:46 47 PSTOP;42
PSTART 13-05-2021 14:18:46 48 PSTOP;41
PSTART 13-05-2021 14:18:46 49 PSTOP;36
PSTART 13-05-2021 14:18:46 50 PSTOP;44
PSTART 13-05-2021 14:18:46 51 PSTOP;41
PSTART 13-05-2021 14:18:46 52 PSTOP;36
PSTART 13-05-2021 14:18:46 53 PSTOP;43
PSTART 13-05-2021 14:18:46 54 PSTOP;42
PSTART 13-05-2021 14:18:46 55 PSTOP;47
PSTART 13-05-2021 14:18:47 56 PSTOP;35
PSTART 13-05-2021 14:18:47 57 PSTOP;41
PSTART 13-05-2021 14:18:47 58 PSTOP;41
PSTART 13-05-2021 14:18:47 59 PSTOP;36
PSTART 13-05-2021 14:18:47 60 PSTOP;41
PSTART 13-05-2021 14:18:47 61 PSTOP;42
PSTART 13-05-2021 14:18:47 62 PSTOP;33
PSTART 13-05-2021 14:18:47 63 PSTOP;40
PSTART 13-05-2021 14:18:47 64 PSTOP;39
PSTART 13-05-2021 14:18:47 65 PSTOP;35
PSTART 13-05-2021 14:18:47 66 PSTOP;43
PSTART 13-05-2021 14:18:47 67 PSTOP;41
PSTART 13-05-2021 14:18:47 68 PSTOP;33
PSTART 13-05-2021 14:18:47 69 PSTOP;41
PSTART 13-05-2021 14:18:47 70 PSTOP;43
PSTART 13-05-2021 14:18:47 71 PSTOP;44
PSTART 13-05-2021 14:18:47 72 PSTOP;34
PSTART 13-05-2021 14:18:47 73 PSTOP;44
PSTART 13-05-2021 14:18:47 74 PSTOP;40
PSTART 13-05-2021 14:18:47 75 PSTOP;33
PSTART 13-05-2021 14:18:47 76 PSTOP;41
PSTART 13-05-2021 14:18:47 77 PSTOP;42
PSTART 13-05-2021 14:18:47 78 PSTOP;36
PSTART 13-05-2021 14:18:47 79 PSTOP;43
PSTART 13-05-2021 14:18:47 80 PSTOP;44
PSTART 13-05-2021 14:18:48 81 PSTOP;36
PSTART 13-05-2021 14:18:48 82 PSTOP;43
PSTART 13-05-2021 14:18:48 83 PSTOP;41
PSTART 13-05-2021 14:18:48 84 PSTOP;35
PSTART 13-05-2021 14:18:48 85 PSTOP;42
PSTART 13-05-2021 14:18:48 86 PSTOP;41
PSTART 13-05-2021 14:18:48 87 PSTOP;37
PSTART 13-05-2021 14:18:48 88 PSTOP;36
PSTART 13-05-2021 14:18:48 89 PSTOP;44
PSTART 13-05-2021 14:18:48 90 PSTOP;42
PSTART 13-05-2021 14:18:48 91 PSTOP;35
PSTART 13-05-2021 14:18:48 92 PSTOP;42
PSTART 13-05-2021 14:18:48 93 PSTOP;43
PSTART 13-05-2021 14:18:48 94 PSTOP;38
PSTART 13-05-2021 14:18:48 95 PSTOP;42
PSTART 13-05-2021 14:18:48 96 PSTOP;41
PSTART 13-05-2021 14:18:48 97 PSTOP;38
PSTART 13-05-2021 14:18:48 98 PSTOP;41
PSTART 13-05-2021 14:18:48 99 PSTOP;42
PSTART 13-05-2021 14:18:48 00 PSTOP;38
PSTART 13-05-2021 14:18:48 01 PSTOP;44
PSTART 13-05-2021 14:18:48 02 PSTOP;43
PSTART 13-05-2021 14:18:48 03 PSTOP;35
PSTART 13-05-2021 14:18:48 04 PSTOP;43
PSTART 13-05-2021 14:18:48 05 PSTOP;42
PSTART 13-05-2021 14:18:49 06 PSTOP;42
PSTART 13-05-2021 14:18:49 07 PSTOP;36
PSTART 13-05-2021 14:18:49 08 PSTOP;42
PSTART 13-05-2021 14:18:49 09 PSTOP;41
PSTART 13-05-2021 14:18:49 10 PSTOP;36
PSTART 13-05-2021 14:18:49 11 PSTOP;42
PSTART 13-05-2021 14:18:49 12 PSTOP;42
PSTART 13-05-2021 14:18:49 13 PSTOP;35
PSTART 13-05-2021 14:18:49 14 PSTOP;41
PSTART 13-05-2021 14:18:49 15 PSTOP;41
PSTART 13-05-2021 14:18:49 16 PSTOP;36
PSTART 13-05-2021 14:18:49 17 PSTOP;43
PSTART 13-05-2021 14:18:49 18 PSTOP;42
PSTART 13-05-2021 14:18:49 19 PSTOP;36
PSTART 13-05-2021 14:18:49 20 PSTOP;42
PSTART 13-05-2021 14:18:49 21 PSTOP;42
PSTART 13-05-2021 14:18:49 22 PSTOP;45
PSTART 13-05-2021 14:18:49 23 PSTOP;34
PSTART 13-05-2021 14:18:49 24 PSTOP;39
PSTART 13-05-2021 14:18:49 25 PSTOP;43
PSTART 13-05-2021 14:18:49 26 PSTOP;36
PSTART 13-05-2021 14:18:49 27 PSTOP;42
PSTART 13-05-2021 14:18:49 28 PSTOP;43
PSTART 13-05-2021 14:18:49 29 PSTOP;35
PSTART 13-05-2021 14:18:49 30 PSTOP;44
PSTART 13-05-2021 14:18:50 31 PSTOP;41
PSTART 13-05-2021 14:18:50 32 PSTOP;35
PSTART 13-05-2021 14:18:50 33 PSTOP;42
PSTART 13-05-2021 14:18:50 34 PSTOP;46
PSTART 13-05-2021 14:18:50 35 PSTOP;34
PSTART 13-05-2021 14:18:50 36 PSTOP;41
PSTART 13-05-2021 14:18:50 37 PSTOP;40
PSTART 13-05-2021 14:18:50 38 PSTOP;36
PSTART 13-05-2021 14:18:50 39 PSTOP;37
PSTART 13-05-2021 14:18:50 40 PSTOP;42
PSTART 13-05-2021 14:18:50 41 PSTOP;44
PSTART 13-05-2021 14:18:50 42 PSTOP;35
PSTART 13-05-2021 14:18:50 43 PSTOP;43
PSTART 13-05-2021 14:18:50 44 PSTOP;43
PSTART 13-05-2021 14:18:50 45 PSTOP;35
PSTART 13-05-2021 14:18:50 46 PSTOP;40
PSTART 13-05-2021 14:18:50 47 PSTOP;43
PSTART 13-05-2021 14:18:50 48 PSTOP;36
PSTART 13-05-2021 14:18:50 49 PSTOP;42
PSTART 13-05-2021 14:18:50 50 PSTOP;42
PSTART 13-05-2021 14:18:50 51 PSTOP;38
PSTART 13-05-2021 14:18:50 52 PSTOP;42
PSTART 13-05-2021 14:18:50 53 PSTOP;41
PSTART 13-05-2021 14:18:50 54 PSTOP;35
PSTART 13-05-2021 14:18:50 55 PSTOP;42
PSTART 13-05-2021 14:18:51 56 PSTOP;44
PSTART 13-05-2021 14:18:51 57 PSTOP;41
PSTART 13-05-2021 14:18:51 58 PSTOP;36
PSTART 13-05-2021 14:18:51 59 PSTOP;41
PSTART 13-05-2021 14:18:51 60 PSTOP;42
PSTART 13-05-2021 14:18:51 61 PSTOP;36
